acousticness,age,artist_popularity,danceability,duration_ms,energy,followers,genre_popularity,id,instrumentalness,key,length,loudness,mode,name,tempo,time_signature,track_popularity,valence
0.1535,78.1,86.64,0.6838,206548.76,0.6539,19446044,97.96,37i9dQZF1DXcBWIGoYBM5M,0.0006,5.52,50,-5.9325,0.64,Today's Top Hits,121.5172,3.96,85.52,0.4461
0.1459,48.26,89.28,0.7897,204863.98,0.6327,9156924,99.97,37i9dQZF1DX0XUsuxWHRQd,0.0005,6.08,50,-6.271,0.62,RapCaviar,130.1094,4.04,81.38,0.4472
0.0438,310.43,62.22,0.6155,210501.8571,0.8318,4898447,93.18,37i9dQZF1DX4dyzvuaRJ0n,0.2447,5.2381,63,-5.1465,0.5397,mint,122.9136,3.9048,58.48,0.3895
0.2708,172.22,76.7,0.6374,222394.72,0.5158,4089057,99.41,37i9dQZF1DX4SBhb3fqCJd,0.0031,6.16,50,-7.6633,0.48,Are & Be,114.2754,3.92,63.82,0.437
0.0612,149.56,69.32,0.5327,216635.88,0.8031,4131747,96.56,37i9dQZF1DXcF6B6QPhFDv,0.0145,5.36,50,-4.8204,0.54,Rock This,123.8925,3.96,61.26,0.4931
0.1615,220.2,70.82,0.5811,197696.0196,0.7047,4534833,90.78,37i9dQZF1DX1lVhptIYRda,0.0,6.4314,51,-5.8769,0.9608,Hot Country,114.3956,3.9608,69.65,0.5703
0.185,139.58,88.46,0.746,210977.08,0.7546,7642855,99.56,37i9dQZF1DX10zKzsJ2jva,0.0001,4.88,50,-4.6824,0.6,¡Viva Latino!,118.4442,3.98,82.08,0.6545
0.1921,3.99,66.83,0.6038,209957.284,0.6416,2567914,94.86,37i9dQZF1DX4JAvHpjipBk,0.0311,5.4198,81,-6.6531,0.5556,New Music Friday,118.1736,3.963,55.72,0.4439
0.7756,1053.92,58.83,0.5129,228727.1154,0.3271,2461506,90.21,37i9dQZF1DX4E3UdUs7fUx,0.0516,5.2051,78,-11.97,0.7692,Afternoon Acoustic,115.216,3.9231,51.92,0.3203
0.9879,872.31,61.81,0.3776,178355.48,0.0715,3995758,87.13,37i9dQZF1DX4sWSpwq3LiO,0.9128,4.8867,150,-24.0759,0.4467,Peaceful Piano,107.7405,3.5667,62.09,0.1565
